Title,Location,Land Area,No of Beds,No. of Baths,Price
1777 S q Yard An Old House corner with extra land Is For Sale,"F-8/2, F-8",3.6 Kanal,6,6,60 Crore
Sector N 5 Marla park face House for sale.,"Bahria Enclave - Sector N, Bahria Enclave",5 Marla,3,4,2.3 Crore
Brand New Modern Luxury 25 X 40 House For Sale In G-13 Islamabad,"G-13, Islamabad",4.4 Marla,4,5,3.15 Crore
Beautiful brand new Designer and luxury House for Sale in DHA Phase 2,"DHA Phase 2 - Sector A, DHA Defence Phase 2",1 Kanal,6,6,12 Crore
DHA Phase 2 Brand new Designer House for Sale.,"DHA Phase 2 - Sector B, DHA Defence Phase 2",1 Kanal,6,6,10.85 Crore
Brand New House for Sale in DHA Phase 2,"DHA Phase 2 - Sector J, DHA Defence Phase 2",10 Marla,5,5,5 Crore
One kanal House available for sale in DHA 2 sector A Main boulevard,"DHA Phase 2 - Sector A, DHA Defence Phase 2",1 Kanal,6,6,9.5 Crore
"F-8,1066 Sq. yard Liveable House Available For Sale","F-8, Islamabad",2.1 Kanal,7,6,43 Crore
"F-8,500 Sq. Yard New House Front Open With Huge Land Available For Sale","F-8, Islamabad",1 Kanal,5,6,30 Crore
Top Location 30x60 House For Sale In G-13/2,"G-13/2, G-13",7 Marla,5,6,4.65 Crore
Brand New 30x60 House For Sale In G-13/2,"G-13, Islamabad",7 Marla,5,6,5.3 Crore
Luxurious Corner House On Main Boulevard At DHA 2,"DHA Defence Phase 2, DHA Defence",1 Kanal,8,9,9.4 Crore
Good Livable Standard Cda Size House Is For Sale,"F-7, Islamabad",1 Kanal,4,5,22.8 Crore
Sector C3 10 Marla House For Sale,"Bahria Enclave - Sector C3, Bahria Enclave",10 Marla,4,4,4.2 Crore
Top City-1 B Block Kanal Designer House For Sale,"Top City 1, Islamabad",1 Kanal,6,6,9 Crore
Brand new basement house avaliable for sale,"Bahria Enclave - Sector C, Bahria Enclave",1 Kanal,7,6,7.65 Crore
Triple story House For aale in Banigala at prime location,"Bani Gala, Islamabad",1.7 Kanal,8,6,10 Crore
One Kanal House Is Available For Sale,"D-12, Islamabad",1 Kanal,5,6,20 Crore
A Prime Location 6 Marla House In Islamabad Is On The Market For sale,"I-11/1, I-11",6 Marla,4,6,3.75 Crore
1 Kanal Brand New Luxurious Bungalow 5 Bed House For Sale At Best Locality Of Dha Phase 2 Islamabad,"DHA Phase 2 - Sector H, DHA Defence Phase 2",1 Kanal,5,6,13 Crore
Modern Designer Wear House In F-7,"F-7, Islamabad",1.3 Kanal,5,6,40 Crore
Ambassador Level New House For Sale In F. 8. Islamabad,"F-8/3, F-8",2.1 Kanal,11,6,50 Crore
"F-8, 888 S q. Yard Old Demolish Able House Available For Sale","F-8/2, F-8",1.8 Kanal,5,6,30 Crore
Swimming Pool Lavish Brand New House Is For Sale,"F-8, Islamabad",2 Kanal,7,6,60 Crore
Brand New House For Sale In Very Prime Location of F-7 Islamabad,"F-7/1, F-7",1.3 Kanal,6,6,39.5 Crore
Brand New Designer House Is For Sale,"F-6/2, F-6",1.1 Kanal,5,6,35 Crore
5 Marley Corner House For Sale In B-17 Islamabad,"MPCHS - Block F, MPCHS - Multi Gardens",6.7 Marla,3,4,2 Crore
House For Sale ( Vella Type ) in B-17 Islamabad,"MPCHS - Block C1, MPCHS - Multi Gardens",4.4 Marla,3,3,1.4 Crore
Brand New 1 Kanal House For Sale B-17 Islamabad,"MPCHS - Block C, MPCHS - Multi Gardens",1 Kanal,5,6,8 Crore
Luxury House For Sale In Multi Garden B-17 Islamabad,"MPCHS - Block E, MPCHS - Multi Gardens",8 Marla,4,6,2.6 Crore
beautiful house for sale E 11,"E-11/1, E-11",1 Kanal,8,6,12 Crore
1 Kanal Double Storey House,"PWD Housing Scheme, Islamabad",1 Kanal,7,6,5.9 Crore
12 Marla New Double Storey,"Soan Garden, Islamabad",12 Marla,7,6,4.25 Crore
3 Marla Single Storey House For Sale,"Ghauri Town Phase 4A, Ghauri Town",3 Marla,2,2,50 Lakh
Brand New Architectural House Is For Sale In F-7 Islamabad,"F-7, Islamabad",1.1 Kanal,6,7,32 Crore
SOUTH FACE GRACIOUS HOUSE AVAILABLE FOR SALE,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,8.75 Crore
1 Kanal Brand New Designing And Luxury Bungalow Up For Sale.,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,10.8 Crore
Decent & Elegance House For Sale In Dha 2 On Hot Location,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,10.95 Crore
1 kanal Auspicious Design House On Prime Location up For Sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,10.5 Crore
F-8 brand new House for Sale.,"F-8, Islamabad",1.8 Kanal,5,6,48 Crore
1 Kanal Beautiful House for Sale In G13,"G-13/1, G-13",1 Kanal,6,6,12 Crore
A REFURIBISHED/ BRAND NEW HOUSE/1066 SQYRDS/ E-7 IS AVAILABLE FOR SALE,"E-7, Islamabad",2.1 Kanal,7,6,80 Crore
Buy A Prime Location 5 Marla House For sale In I-11,"I-11, Islamabad",5 Marla,5,6,3.25 Crore
VIP Location Brand New house available for Sell E7 Islamabad,"E-7, Islamabad",2 Kanal,6,,90 Crore
brand new luxury kanal park facing house,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,8 Crore
LUXURY BRAND NEW KANAL DOUBLE UNIT 6 BED HOUSE WITH A+ QUALITY.,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,9.4 Crore
Cda Sector F-7/1 (80x120) 1066-sq Yards House For Sale,"F-7, Islamabad",2.1 Kanal,6,5,47 Crore
Brand New House Availble For Sale F-8 Islamabad,"F-8/3, F-8",1.8 Kanal,8,9,55 Crore
7992 Square Feet House In F-8/3 Is Best Option,"F-8/3, F-8",1.8 Kanal,5,7,44.5 Crore
defence Villa Front open for sale,"DHA Phase 1 - Defence Villas, DHA Phase 1 - Sector F",11 Marla,3,4,3.75 Crore
Open Front House Available For Sale In F-11 Islamabad,"F-11/2, F-11",1.3 Kanal,6,6,19.5 Crore
1 Kanal Aesthetic Design Bungalow up for sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,9.5 Crore
Brand New Good Location Luxury 40 X 80 House For Sale In G-13 Islamabad,"G-13, Islamabad",14.2 Marla,7,6,8.5 Crore
1kanal Fabulous Bungalow Up For Sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,5,6,8.75 Crore
10 Marla Double Story,"Pakistan Town - Phase 1, Pakistan Town",10 Marla,6,6,3.1 Crore
"E-7,2 Kanal Old House Available For Sale","E-7, Islamabad",2 Kanal,7,6,47 Crore
E-7 Brand New Beautiful Front Open Park Face House On Prime Location Available For Sale,"E-7, Islamabad",1.6 Kanal,6,6,63 Crore
"F-7,500 Sq. Yard Beautiful House On Prime Location Available For Sale","F-7, Islamabad",1 Kanal,5,6,25 Crore
G-13 Brand New Architect Design Double Story House 272 Yd Prime location,"G-13, Islamabad",10.9 Marla,6,6,6.75 Crore
1000 Square Yards A Liveable House Is Available For Sale In E-7,"E-7, Islamabad",2 Kanal,5,5,40 Crore
Neat And Clean Beautiful House,"E-11, Islamabad",10 Marla,9,6,7.25 Crore
Best Designer 1Kanal House for sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,5,6,9 Crore
Beautiful 1 Kanal House for sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,8.75 Crore
1 Kanal Brand New House Available For Sale In DHA 2 Islamabad,"DHA Defence Phase 2, DHA Defence",1 Kanal,5,5,8.5 Crore
Beautiful Front Open House Ideal Location F-11,"F-11, Islamabad",1.8 Kanal,11,6,26 Crore
5 Marla Brand New House,"Bahria Enclave - Sector N, Bahria Enclave",5 Marla,3,3,2.1 Crore
corner Brand new house for sale in D12.1,"D-12, Islamabad",4.5 Marla,4,4,4.95 Crore
Brand new house for sale in Islamabad CDA sector,"G-13/4, G-13",14 Marla,7,8,8.7 Crore
11 Marla Grey Structure For Sale Proper Double Unit 5 Bedroom Near To Save Mart Sector F Dha Phase 1,"DHA Phase 1 - Sector F, DHA Defence Phase 1",11 Marla,5,6,3.2 Crore
Huge Extra Land Demolish Able House Very Best Option,"F-6, Islamabad",1.7 Kanal,5,5,30 Crore
3 Kanal Old House Is For Sale,"F-6, Islamabad",3 Kanal,10,10,55 Crore
House For Sale Avilable In F-6 Islamabad,"F-6/1, F-6",1.1 Kanal,7,8,27 Crore
B-17 Prime location 40_80 House available for sale,"B-17, Islamabad",14 Marla,7,6,4.6 Crore
4 Marla Brand New House For Sale,"Ghauri Town Phase 4A, Ghauri Town",4 Marla,4,4,1.6 Crore
14 Marla Luxury House For Sale In G-13 Islamabad,"G-13, Islamabad",14 Marla,7,6,8.25 Crore
A Stunning House Is Up For Grabs In I-8/3 Islamabad,"I-8/3, I-8",14.2 Marla,6,6,10 Crore
"F-7,500 Sq. Yard Decent House On Top Location Available For Sale","F-7, Islamabad",1 Kanal,5,6,26.5 Crore
"G-10 , Brand New Size 272 Yd Architect Design Double Story House 5 Master Bedrooms Attached Stylish 6 Bathrooms 2 D/D 2 Tv Lounge, American Style Kitchen , SQTR Reasonable Price","G-10, Islamabad",10.9 Marla,5,6,8.75 Crore
Brand New House Available For Sale In G13 Islamabad It Is Located Nearby To Kashmir Highway And Close Access To Main Other Market,"G-13, Islamabad",4 Marla,4,5,3.3 Crore
30x60 Brand New House Available For Sale In G13 Islamabad. it Is Located Very Nearby To Kashmir Highway,"G-13, Islamabad",8 Marla,5,6,5.75 Crore
30x60 Brand New House Available For Sale In G13 Islamabad. it Is Located Very Nearby To Kashmir Highway,"G-13, Islamabad",8 Marla,5,6,5.75 Crore
Brand New Luxury Good Location 35 X 70 House For Sale In G-13 Islamabad,"G-13, Islamabad",10.9 Marla,6,6,6.8 Crore
Ready To Buy A House In G-13 G-13,"G-13, Islamabad",4 Marla,4,5,2.8 Crore
Beautiful New House On Double Road For Sale,"G-13/3, G-13",14.2 Marla,8,6,9.55 Crore
A Block Street 2 Brand New House for Sale,"Top City 1 - Block A, Top City 1",10 Marla,5,6,4.15 Crore
Designer Beautiful New House 1 Kanal,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,8.2 Crore
Elegant House Available for Sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,5,6,11.75 Crore
Invest Wisely In The Outstanding 1 Kanal House Of Dha Islamabad,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,7.7 Crore
Luxurious Ultra Modern House At Peak Location For Sale,"DHA Defence Phase 2, DHA Defence",1.5 Kanal,8,6,15 Crore
Dha Homes House Is Available For Sale,"DHA Homes, DHA Valley",8 Marla,3,4,1.6 Crore
"G-13 , Brand New Size 356 Yd Architect Design Double Story House 6 Master Bedrooms Attached Stylish 6 Bathrooms 2 D/D 2 Tv Lounge, American Style Kitchen , SQTR Reasonable Price","G-13, Islamabad",14.2 Marla,7,6,8.5 Crore
End Your Search For House Here And sale Now,"F-6, Islamabad",3 Kanal,6,6,45 Crore
Front open Beautiful house for sale in F10,"F-10, Islamabad",1 Kanal,5,5,16.5 Crore
G11 Brand New House For Sale,"G-11, Islamabad",3.6 Marla,4,4,3.4 Crore
Good Condition House Is For Sale,"F-7, Islamabad",1.2 Kanal,6,6,26.8 Crore
1 Kanal Designer house up for sale,"Bahria Enclave - Sector C, Bahria Enclave",1 Kanal,5,6,8 Crore
3200 Square Feet House In I-8/4 For sale,"I-8/4, I-8",14.2 Marla,7,,15 Crore
2800 Square Feet House Ideally Situated In I-8/2,"I-8/2, I-8",12.4 Marla,6,6,9.5 Crore
Get In Touch Now To Buy A House In F-8,"F-8, Islamabad",2 Kanal,5,5,39 Crore
Size 30x60 Brand New House For Sale In G-13,"G-13, Islamabad",7 Marla,4,5,5.3 Crore
KANAL BRAND NEW DOUBLE STORY HOUSE FOR SALE,"Soan Garden - Block D, Soan Garden",1 Kanal,7,6,6 Crore
Brand New Modern Luxury 30 X 60 House For Sale In G-13 Islamabad,"G-13, Islamabad",8 Marla,5,6,5.75 Crore
4 Marla House For Sale In G-14/4,"G-14/4, G-14",4.4 Marla,4,5,3.1 Crore
30x60 Luxury House For Sale,"G-13/2, G-13",8 Marla,6,6,5.25 Crore
4 Marla Brand New House For Sale,"G-13, Islamabad",4.4 Marla,4,5,3.25 Crore
25x40 Brand New House For Sale,"G-14/4, G-14",4.4 Marla,4,5,3.1 Crore
4 Marla Brand New,"G-13/1, G-13",4.4 Marla,4,5,3.25 Crore
Brand New House Available For Sale In G13 Islamabad It Is Located Nearby To Kashmir Highway And Has Close Access To Main Other Market,"G-13, Islamabad",4 Marla,4,5,3.3 Crore
Corner 12 Marla Double Storey House With Extra Land,"I-8/3, I-8",12 Marla,6,6,15 Crore
F. 8/3 Brand new house 2 kanal 7 bedroom drawing dining lush green lawn swimming pool prime location cda transfer,"F-8/3, F-8",2 Kanal,7,,53 Crore
Beautiful House For Sale In E-18 Islamabad,"E-18, Islamabad",11.2 Marla,5,5,3.5 Crore
10 marla semi corner brand new house with 8 marla extra land for sale in sector C bahria enclave Islamabad,"Bahria Enclave, Bahria Town",18 Marla,4,5,6.5 Crore
Corner house 8 marla sector N,"Bahria Enclave - Sector N, Bahria Enclave",8 Marla,5,6,3.25 Crore
11 Marla Slightly Used Corner House Available For Sale In Sector E Very Prime Location,"DHA Phase 2 - Sector E, DHA Defence Phase 2",11 Marla,5,6,6 Crore
11.25 Marla House | Sector C2 | For Sale,"Bahria Enclave - Sector C2, Bahria Enclave",11.2 Marla,3,5,3.9 Crore
Beautiful House Front Open Closed End Street Available For Sale Ideal Location F10,"F-10, Islamabad",1 Kanal,5,5,16.5 Crore
Kanal Brand New triple story House Available For Sale In Dha Phase 2,"DHA Phase 2 - Sector A, DHA Defence Phase 2",1 Kanal,8,6,12 Crore
Prime location Sector G with Awesome Islamabad Hills view 1 kanal house For Sale,"DHA Phase 2 - Sector G, DHA Defence Phase 2",1 Kanal,6,6,8.75 Crore
Buy 3204 Square Feet House At Highly Affordable Price,"G-9/1, G-9",14.2 Marla,6,6,8.7 Crore
40x80 Triple Storey Street Corner House Near Kachnar Park,"I-8/3, I-8",14.2 Marla,9,,12 Crore
Modern Designer House For Sale,"F-6, Islamabad",1.1 Kanal,5,6,36 Crore
KANAL DOUBLE STORY HOUSE FOR SALE,"Soan Garden - Block F, Soan Garden",1 Kanal,7,6,5 Crore
House For Sale In New Chatha Bakhtawar,"Chatha Bakhtawar, Islamabad",5 Marla,5,5,1.65 Crore
Kanal Brand New House Available For Sale In Dha Phase 2,"DHA Phase 2 - Sector B, DHA Defence Phase 2",1 Kanal,6,6,10.85 Crore
Kanal house available for sale in Dha phase 2 Islamabad,"DHA Phase 2 - Sector D, DHA Defence Phase 2",1 Kanal,6,7,8.85 Crore
Kanal Brand New House Available For Sale In Dha Phase 2,"DHA Phase 2 - Sector G, DHA Defence Phase 2",1 Kanal,6,6,8.5 Crore
60x90 Triple Storey House For Sale In I-8,"I-8, Islamabad",1.2 Kanal,8,6,17 Crore
1.2 Kanal Double Storey House For Sale In I-8 3,"I-8/3, I-8",1.2 Kanal,6,6,18 Crore
1.2 Kanal Designer house for sale,"I-8, Islamabad",1.2 Kanal,6,6,20 Crore
Corner 12 Marla House Adjacent To Family Park For Sale In I-8 3,"I-8/3, I-8",12 Marla,6,6,10.5 Crore
Brand New 12 Marla Double Storey House For Sale,"I-8/3, I-8",12 Marla,6,6,11.75 Crore
G-13 brand new house for sale size 40*80,"G-13/4, G-13",14.2 Marla,6,6,9.35 Crore
House for sale G13,"G-13, Islamabad",4 Marla,4,4,3.5 Crore
"500 Square Yards House In Only Rs. 125,000,000","E-11/3, E-11",1 Kanal,7,8,12.5 Crore
Most Prime Heighted House near Park and Mosque,"DHA Phase 1 - Sector B, DHA Defence Phase 1",1 Kanal,5,6,9.5 Crore
Exclusive Designer South Facing House with Extra Land,"DHA Phase 2 - Sector B, DHA Defence Phase 2",1 Kanal,6,6,10.85 Crore
Kanal house for sale in bahria enclave sector C in grey structure,"Bahria Enclave, Bahria Town",1 Kanal,6,5,6.4 Crore
5 marla designer house for sale in sector H bahria enclave Islamabad at,"Bahria Enclave, Bahria Town",5 Marla,3,4,2.4 Crore
Majestic kanal House For Sale At Prime Location,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,10.25 Crore
House for sale In G-9,"G-9, Islamabad",14.2 Marla,6,6,8 Crore
30*60 front open park face house for sale in D12.3,"D-12/3, D-12",8 Marla,6,6,8.75 Crore
House Of 1000 Square Feet For sale In G-13,"G-13, Islamabad",4.4 Marla,5,5,3.25 Crore
Margalla View Society - Block D House Sized 2400 Square Feet,"Margalla View Society - Block D, Margalla View Housing Society",11 Marla,7,6,3.85 Crore
Prime Location 1 Kanal Golf Course View House With Extra Land For Sale In Eighteen Islamabad,"Eighteen, Kashmir Highway",1 Kanal,5,6,10 Crore
Stunning Brand New 1 Kanal Luxurious House For Sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,8,9.5 Crore
60x90 Single Story House In I-8/2,"I-8/2, I-8",1.2 Kanal,3,3,14.5 Crore
14 Marla Brand New House Available For Sale In Dha Phase 2 Islamabad,"DHA Phase 2 - Sector B, DHA Defence Phase 2",14 Marla,6,6,7.25 Crore
F11/3 Reasonable price House for sale.,"F-11, Islamabad",10 Marla,5,5,7 Crore
14 Marla Corner House For Sale in G-13 Islamabad,"G-13, Islamabad",14 Marla,6,6,7.45 Crore
7 MARLA BRAND NEW DOUBLE STORY HOUSE FOR SALE,"Soan Garden, Islamabad",7 Marla,5,6,3.25 Crore
25x40 4 marla new house for Sale G-13,"G-14/4, G-14",4 Marla,4,4,3.25 Crore
09 MARLA DESIGNER BRAND NEW DOUBLE STORY HOUSE FOR SALE,"Soan Garden, Islamabad",9 Marla,7,6,3.75 Crore
10 Marla House for Sale in CDA Sector D-12 Islamabad,"D-12, Islamabad",10.9 Marla,,,7.5 Crore
Double Unit House Near McDonald's DHA 2,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,8.6 Crore
Corner House Well Maintained For Sale Near Mc Donalds,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,7.9 Crore
Single Unit Investor Price House Near Giga Mall,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,8.2 Crore
Single Unit Designer House Near Giga Mall For Sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,5,6,11.9 Crore
Highted Location House Available For Sale At DHA 2,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,,8.75 Crore
Best Ever Luxurious House For Sale At DHA 2,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,12 Crore
5 marla house for sale in bahria enclave sector islamabad sector B1 prime location,"Bahria Enclave, Bahria Town",5 Marla,4,5,2.6 Crore
1 Kanal Brand New House Available For Sale In Dha 2 Islamabad,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,10.5 Crore
DHA valley brand new avail for sale,"Oleander Sector - DHA Homes Block A, DHA Valley - Oleander Sector",8 Marla,3,3,1.6 Crore
Sector H 5 Marla Brand New House For Sale,"Bahria Enclave - Sector H, Bahria Enclave",5 Marla,3,3,2.6 Crore
beautiful house for sale,"Rawalpindi Housing Society, C-18",4.5 Marla,4,6,1.15 Crore
BEATIFUL HOUSE AVIABLE FOR SALE DOUBLE STORTY BRAND NEW,"I-9/4, I-9",6 Marla,4,4,4.25 Crore
"5 Marla Corner House For Sale 
Ver Prime Location 
Near To Mosque, Markaz,Park 
very Reasonable Price","MPCHS - Block F, MPCHS - Multi Gardens",5 Marla,3,3,1.9 Crore
40x80 House Available For Sale In Faisal Town A Block Urgent For Sale,"Faisal Town - F-18, Islamabad",14.2 Marla,6,6,5.3 Crore
G-13 Brand New Architect Design Double Storey House 500 Yds Complete Imported Fitting,"G-13, Islamabad",1 Kanal,6,6,12.95 Crore
14 Marla Luxury Used House For Sale In G-13,"G-13, Islamabad",14.2 Marla,6,6,7.5 Crore
Semi Furnished Vila for Sale in Eighteen,"Eighteen, Kashmir Highway",10 Marla,4,4,5.5 Crore
6 Marla Prime Location House Available For Sale In Soan Garden Block B Islamabad,"Soan Garden - Block B, Soan Garden",6 Marla,4,5,2.35 Crore
35x70 10 marla new house for Sale G-13,"G-14/4, G-14",10 Marla,6,6,5.5 Crore
35x70 10 marla new house for Sale G-13,"G-14/4, G-14",10 Marla,6,6,5.75 Crore
25x40 4 marla new house for Sale G-14/4,"G-14/4, G-14",4 Marla,4,6,3.5 Crore
35x70 10 marla new house for Sale G-13,"G-14/4, G-14",10 Marla,6,6,5.5 Crore
Buy your ideal 3200 Square Feet House in a prime location of Islamabad,"PHAF Officers Residencia, Kuri Road",14.2 Marla,5,5,4.1 Crore
Luxurious Full Furnished House Available For Sale At Dha 2,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,15 Crore
1 Kanal Brand New Beautiful House For Sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,10.85 Crore
Top Location Beautiful House With Best Design For Sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,12 Crore
LUXURY BRAND NEW KANAL HOUSE IN DHA PHASE 2 ISLAMABAD,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,9.75 Crore
House for Sale in CDA Sector D12,"D-12, Islamabad",5.6 Marla,,,4.5 Crore
House For Sale in D-12 Islamabad,"D-12, Islamabad",14.2 Marla,,,14 Crore
House For Sale In Cda Sector D12,"D-12, Islamabad",14.2 Marla,,,15.5 Crore
House For Sale in D-12 Islamabad,"D-12, Islamabad",4.4 Marla,,,4.95 Crore
40/80 Brand New House Available For sale in G_13 50 Feet Street,"G-13, Islamabad",14 Marla,7,6,8.5 Crore
500 Square Yards House For sale Is Available In G-16/4,"G-16/4, G-16",1 Kanal,6,7,7.75 Crore
Eighteen - 10 Marla Villa Available For Sale On Installments,"Eighteen, Kashmir Highway",10 Marla,4,5,5.2 Crore
One Kanal Brand New House On Prime Location,"Soan Garden - Block F, Soan Garden",1 Kanal,6,6,5.9 Crore
5 Marla House In G-11/2 For sale At Good Location,"G-11/2, G-11",5 Marla,4,4,3.5 Crore
Buying A House In DHA Defence Phase 2?,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,7,10.85 Crore
Brand New House 05 Marla For Sale Sector H,"Bahria Enclave - Sector H, Bahria Enclave",5 Marla,3,4,2.45 Crore
one kanal band new double road corner house is available for sale at block A MVHS D-17,"Margalla View Society - Block A, Margalla View Housing Society",1 Kanal,8,6,6.7 Crore
Spacious 10 Marla House Available For sale In Top City 1,"Top City 1, Islamabad",10 Marla,,,3.75 Crore
Owner Built House Is Available For Sale On Reasonable Price,"I-14, Islamabad",7 Marla,4,4,3 Crore
Corner 4 Marla House In Beautiful Location Of G-13/2 In Islamabad,"G-13/2, G-13",4 Marla,4,5,3.5 Crore
Defence Villas Dha-1 Sector F House,"DHA Phase 1 - Defence Villas, DHA Phase 1 - Sector F",11 Marla,3,4,3.75 Crore
1800 Square Feet House Ideally Situated In PHAF Officers Residencia,"PHAF Officers Residencia, Kuri Road",8 Marla,,,2.35 Crore
PHAF Officers Residencia 1800 Square Feet House Up For sale,"PHAF Officers Residencia, Kuri Road",8 Marla,,,1.9 Crore
1800 Square Feet House In PHAF Officers Residencia For sale,"PHAF Officers Residencia, Kuri Road",8 Marla,,,2.15 Crore
Sector B1 5 Marla House For Sale In Bahria Enclave Islamabad.,"Bahria Enclave - Sector B1, Bahria Enclave",5 Marla,3,4,2.38 Crore
7 marla Corner house avaliable for sale,"Bahria Enclave - Sector N, Bahria Enclave",7 Marla,3,4,2.85 Crore
Corner 4 Marla House For Sale In D-12 Islamabad,"D-12, Islamabad",4 Marla,,,3.4 Crore
Corner 4 Marla House For Sale in D-12 Islamabad,"D-12, Islamabad",4.4 Marla,,,4.8 Crore
Prime Location 4 Kanal Villa For Sale in Eighteen Islamabad,"Eighteen, Kashmir Highway",4 Kanal,9,,30 Crore
Mediterranean 11 Marla 5 Beds Stylish Cottage Available For Sale In Bahria Enclave,"Bahria Enclave, Bahria Town",11 Marla,5,6,6.1 Crore
SPANISH DESIGN 6 Marla 3 Beds Stylish Cottage Available For Sale In Bahria Enclave,"Bahria Enclave, Bahria Town",6 Marla,3,4,3.1 Crore
Evergreen Classic 20 Marla 5 Beds House Available For Sale In Bahria Enclave,"Bahria Enclave, Bahria Town",1 Kanal,5,6,12.15 Crore
In Bahria Enclave Malaysian Style 11 Marla 5 Beds Cottage Available For Sale In Bahria Town,"Bahria Enclave, Bahria Town",11 Marla,5,6,6.15 Crore
In Bahria Enclave Brand New Luxury 10 Marla 5 Beds Cottage Available For Sale In Bahria Town,"Bahria Enclave, Bahria Town",10 Marla,5,6,6.15 Crore
5 To 6 Lac Rental Value Brand New Luxury Installment Property Near F6 In Blue Area,"F-6, Islamabad",8.9 Marla,2,2,7 Crore
1 Kanal Brand New House,"Bahria Enclave, Bahria Town",1 Kanal,6,6,8.9 Crore
10 Marla Beautiful House - Bahria Enclave Islamabad,"Bahria Enclave - Sector B2, Bahria Enclave",10 Marla,5,6,4.9 Crore
House for Sale 5m Brand new double story house Naval Anchorage Islamabad,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.5 Crore
"1 Kanal Beautiful House Available For sale In Dha Phase 1, Islamabad","DHA Defence Phase 1, DHA Defence",1 Kanal,5,6,9.2 Crore
30x60 Sun Face Brand New House For Sale In G13,"G-13, Islamabad",8 Marla,5,6,5.25 Crore
40x80 Brand New House For Sale In G13,"G-13, Islamabad",14.2 Marla,7,6,8.75 Crore
Beautiful House for sale in islamabad D12 sector 4marla size,"D-12, Islamabad",4 Marla,3,4,4.2 Crore
Bahria Enclave Sector N 5 Marla Beautiful Park Face Brand New 4 Bed House Available For Sale In Prime Location. Reasonable Demand.,"Bahria Enclave - Sector N, Bahria Enclave",5 Marla,4,4,2.26 Crore
"1 Kanal Double Unit House Available For Sale In Dha Phase 1, Islamabad","DHA Defence Phase 1, DHA Defence",1 Kanal,6,6,7 Crore
F6 400 Square Yard Brand New House 6 Beds With Attached Bathroom Drawing And Dining Tv Lounge Kitchen Servant Quarter,"F-6, Islamabad",16 Marla,6,6,20 Crore
F. 8/1 liveable house 2 kanal prime location cda transfer 5 bedroom drawing dining lush green lawn,"F-8/1, F-8",2 Kanal,5,6,37 Crore
Brand new house avaliable for sale,"Bahria Enclave - Sector B1, Bahria Enclave",5 Marla,4,5,2.6 Crore
Brand new Parkface house available for sale,"Bahria Enclave - Sector C1, Bahria Enclave",10 Marla,5,6,4.96 Crore
5 marla Full House Available For sale in H-13 Islamabad in a very good condition,"H-13, Islamabad",5 Marla,4,5,1.8 Crore
i-8/2 liveable 40*80 house,"I-8, Islamabad",14.2 Marla,6,6,9.6 Crore
i-8 Triple storey 9 bedroom house,"I-8, Islamabad",14.2 Marla,9,6,11.65 Crore
In Bahria Enclave Sector C A Turkish Style Lovely 1 Kanal For Sale At Prime Location In Bahria Town,"Bahria Enclave - Sector C, Bahria Enclave",1 Kanal,5,6,12.5 Crore
Royal Palace 15 Marla 5 Beds Cottage Available For Sale In Bahria Town,"Bahria Enclave, Bahria Town",15 Marla,5,6,7.75 Crore
Fulyl Fitted Villa for Sale in Eighteen Islamabad,"Eighteen, Kashmir Highway",1 Kanal,,,10.7 Crore
Gulberg Residencia Islamabad House No. 438 St No. 20 Block F Size 30*60 3 Stories Smart Build Modern House 5 Bed Rooms 6 Washrooms 2 Drawing And Dinning 2 Stores Upper,"DHA Defence Phase 2, DHA Defence",8 Marla,5,6,4.45 Crore
1800 Square Feet House For Sale In Beautiful Gulshan-E-Sehat 1 - Block D,"Gulshan-e-Sehat 1 - Block D, Gulshan-e-Sehat 1",8 Marla,6,6,2.1 Crore
