Title,Location,Land Area,No of Beds,No. of Baths,Price
"A House Of 5 Marla In Rs. 22,500,000","Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.25 Crore
Naval Anchorage - Block G House For sale Sized 5 Marla,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.3 Crore
Reserve A House Now In Naval Anchorage - Block G,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.35 Crore
Book House Today In Naval Anchorage - Block G,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.4 Crore
Naval Anchorage - Block G House For sale Sized 5 Marla,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.5 Crore
House For sale Situated In Naval Anchorage - Block G,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.45 Crore
5 Marla House Ideally Situated In Naval Anchorage - Block G,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.25 Crore
5 Marla House In Central Naval Anchorage - Block G For sale,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.2 Crore
Outstanding approach 1 Kanal House,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,8.25 Crore
Specious 1 kanal House For Sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,5,6,11.9 Crore
4 Marla Luxury House For Sale in G-13 Islamabad,"G-13, Islamabad",5 Marla,5,5,3.3 Crore
Beautiful Corner 14 Marla House with extra land and Park Face for Sale,"G-13, Islamabad",14 Marla,9,6,9.8 Crore
1800 Square Feet House Is Available For sale In F-17/2,"F-17/2, F-17",8 Marla,5,8,2.7 Crore
5400 Square Feet House Ideally Situated In I-8,"I-8, Islamabad",1.2 Kanal,6,6,18 Crore
A Perfect House Awaits You In I-8 I-8,"I-8, Islamabad",14.2 Marla,6,6,12 Crore
House Of 3200 Square Feet Is Available For sale,"I-8, Islamabad",14.2 Marla,6,6,9 Crore
Looking For A House In I-8,"I-8, Islamabad",12.4 Marla,6,6,12 Crore
Elegant House For Sale In The Heart Of Dha Phase 2,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,10.5 Crore
G-13 25x40 Brand new luxury House available,"G-13, Islamabad",4 Marla,4,4,3.25 Crore
Fully Furnished Luxurious House For Sale AT DHA 2,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,15 Crore
I-14/3 is a very good location,"I-14/3, I-14",5 Marla,2,2,2.6 Crore
Near To Main Double Road House,"I-14/3, I-14",5 Marla,5,6,2.5 Crore
Kashmir Highway & New Islamabad International Airport,"Airline Avenue, Islamabad",5 Marla,3,4,1.65 Crore
10 Marla House Available For Sale In Dha Phase 2 Islamabad,"DHA Phase 2 - Sector E, DHA Defence Phase 2",10 Marla,5,5,6.5 Crore
5 Marla House For Sale,"Bahria Enclave, Bahria Town",5 Marla,3,4,2.1 Crore
Get Your Hands On House In Islamabad Best Area,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.2 Crore
for sale,"E-11/3, E-11",1 Kanal,,,18 Crore
5 Marla House Is Available For sale In Naval Anchorage - Block G,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.3 Crore
5 Marla House In Naval Anchorage - Block G Best Option,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.35 Crore
A House Of 5 Marla In Islamabad,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.4 Crore
Centrally Located House In Naval Anchorage - Block G Is Available For sale,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.45 Crore
5 Marla House For sale In Beautiful Naval Anchorage - Block G,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.5 Crore
Buying A House In Islamabad?,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.25 Crore
G-13 25*40 Beautiful Luxury House available,"G-13, Islamabad",4 Marla,4,4,3 Crore
1 Kanal Luxurious House For Sale In Dha 2 Islamabad,"DHA Defence Phase 2, DHA Defence",1 Kanal,5,6,12.75 Crore
AN OLD DEMOLISHABLE HOUSE/ 1500 SQYRDS/ F-6 IS AVAILABLE FOR SALE,"F-6/1, F-6",3 Kanal,11,6,55 Crore
35x80 Double Story Corner House In I-8/2 Near Shifa,"I-8/2, I-8",12.4 Marla,6,6,10.05 Crore
Front Open 40x80 Triple Storey House In I-8,"I-8, Islamabad",14.2 Marla,9,6,11.5 Crore
"10 Marla Designer House Available For Sale
Near to Main Entrance","Bahria Enclave - Sector C1, Bahria Enclave",10 Marla,5,6,5.2 Crore
"House No 00, Street No 00, Sector J, Dha Phase 02, Islamabad","DHA Phase 2 - Sector J, DHA Defence Phase 2",1 Kanal,8,6,7.65 Crore
Brand New Lavish 1 Kanal House For Sale Dha-2 Islamabad,"DHA Phase 2 - Sector C, DHA Defence Phase 2",1 Kanal,6,6,9.5 Crore
Prime Location 1500 Square Feet House In Islamabad Is Available For sale,"Services Society, E-11/2",6.7 Marla,4,4,4.9 Crore
10 marla semi furnished house avb for sale,"Eighteen, Kashmir Highway",10 Marla,4,4,5.35 Crore
Outclass Full Furnished House Available For Sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,15 Crore
1 Kanal Beautiful house up for sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,5,6,8.5 Crore
Kanal Brand New House Available For Sale In Dha Phase 2,"DHA Phase 2 - Sector F, DHA Defence Phase 2",1 Kanal,5,6,12 Crore
Kanal Brand New House Available For Sale In Dha Phase 2 Islamabad,"DHA Phase 2 - Sector A, DHA Defence Phase 2",1 Kanal,6,6,8.45 Crore
Kanal Brand New House Available For Sale In DHA Phase 2,"DHA Phase 2 - Sector G, DHA Defence Phase 2",1 Kanal,6,6,11.75 Crore
Kanal Brand New House Available For Sale In Dha Phase 2,"DHA Phase 2 - Sector C, DHA Defence Phase 2",1 Kanal,6,6,9.5 Crore
12 MARLA BRAND NEW DOUBLE STORY HOUSE FOR SALE BLOCK A,"Soan Garden - Block A, Soan Garden",12 Marla,7,6,4.4 Crore
You Can Find A Gorgeous House For sale In Naval Anchorage - Block G,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.3 Crore
Well-constructed House Available For sale In Naval Anchorage - Block G,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.35 Crore
In Naval Anchorage - Block G 5 Marla House For sale,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.4 Crore
Your Dream 5 Marla House Is Available In Naval Anchorage - Block G,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.45 Crore
Stunning 5 Marla House In Naval Anchorage - Block G Available,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.5 Crore
"Property For sale In Naval Anchorage - Block G Islamabad Is Available Under Rs. 23,500,000","Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.35 Crore
Well-constructed House Available For sale In Naval Anchorage - Block G,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.4 Crore
House For sale In Naval Anchorage - Block G,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.45 Crore
"F-7,500 Sq. Yard Hill Face Cda Transfer House On Top Location Available For Sale","F-7, Islamabad",1 Kanal,5,6,26.5 Crore
32 Marla Furnished House For Sale Bahria Garden City Zone 1,"Bahria Garden City - Zone 1, Bahria Garden City",1.6 Kanal,5,6,14.75 Crore
10 Marla House Park Face Double Unit,"Bahria Enclave - Sector A, Bahria Enclave",10 Marla,5,5,5.25 Crore
1800 Square Feet House In G-15/2 Is Available,"G-15/2, G-15",8 Marla,,,2.85 Crore
3200 Square Feet House In G-15/1 Is Available,"G-15/1, G-15",14.2 Marla,,,4.6 Crore
1 kanal villa semi furnished avb for sale,"Eighteen, Kashmir Highway",1 Kanal,5,5,10.02 Crore
Want To Buy A House In Korang Town?,"Korang Town, Islamabad",14.2 Marla,6,8,4.8 Crore
Buying A House In Pakistan Town - Phase 1?,"Pakistan Town - Phase 1, Pakistan Town",5 Marla,4,5,2.3 Crore
1 kanal beautiful designer high quality house availablefor sell in bahria enclave islamabad.,"Bahria Enclave, Bahria Town",1 Kanal,5,5,9.5 Crore
8 MARLA BRAND NEW HOUSE FOR SALE IN E 11/2,"E-11/2, E-11",8 Marla,7,6,4.6 Crore
F-8 House for sale,"F-8, Islamabad",2.1 Kanal,6,6,41.75 Crore
Studio Apartment is for Sale in J7 Emporium,"J7 Emporium, B-17",2.6 Marla,1,,81.2 Lakh
40x80 Brand New House For Sale located at Main Double Road.,"G-13, Islamabad",14.2 Marla,6,6,9.55 Crore
25x50 Grey Structure Double Storey,"B-17, Islamabad",5.6 Marla,4,4,1.3 Crore
Designer Luxurious House Available For Sale In Dha Phase 2,"DHA Defence Phase 2, DHA Defence",1 Kanal,5,6,9.95 Crore
double story house for sale in banigala,"Bani Gala, Islamabad",14 Marla,4,6,3.25 Crore
7 MARLA MAIN ROAD BACK HOUSE FOR SALE IN C1 BLOCK MULTI GARDENS B17,"MPCHS - Block C1, MPCHS - Multi Gardens",7 Marla,5,5,3 Crore
"A House Of 5 Marla In Rs. 25,000,000","Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.5 Crore
Highly-coveted 5 Marla House Is Available In Naval Anchorage - Block G For sale,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.25 Crore
Gorgeous 5 Marla House For sale Available In Naval Anchorage - Block G,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.3 Crore
Ideal House For sale In Naval Anchorage - Block G,"Naval Anchorage - Block G, Naval Anchorage",5 Marla,4,4,2.25 Crore
